country_id,country,state_id,state,market_id,market,produce_id,produce,currency_id,currency,pt_id,market_type,um_unit_id,quantity,month,year,price
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,14,Wholesale,123,100 L,2,2017,815.0
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,14,Wholesale,123,100 L,3,2017,4700.0
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,14,Wholesale,123,100 L,2,2018,365.8333
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,15,Retail,123,100 L,4,2017,351.0
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,15,Retail,123,100 L,5,2017,412.0
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,15,Retail,123,100 L,6,2017,432.0
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,15,Retail,123,100 L,7,2017,533.0
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,15,Retail,123,100 L,8,2017,524.0
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,15,Retail,123,100 L,3,2018,542.5
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,15,Retail,123,100 L,4,2018,558.3333
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,15,Retail,123,100 L,5,2018,544.6667
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,15,Retail,123,100 L,7,2018,569.6635
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,15,Retail,123,100 L,8,2018,581.9964
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,15,Retail,123,100 L,9,2018,567.497
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,15,Retail,15,L,10,2018,572.6632
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,15,Retail,15,L,11,2018,572.496
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,15,Retail,15,L,12,2018,562.4975
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,15,Retail,15,L,2,2019,544.1665
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,15,Retail,15,L,3,2019,540.831
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,15,Retail,15,L,4,2019,504.9985
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,15,Retail,15,L,8,2019,486.664
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,15,Retail,15,L,9,2019,483.33
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,15,Retail,15,L,10,2019,483.33
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,15,Retail,15,L,11,2019,483.33
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,15,Retail,15,L,12,2019,483.33
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,15,Retail,15,L,1,2020,483.33
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,15,Retail,15,L,2,2020,483.33
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,15,Retail,15,L,3,2020,485.0
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,15,Retail,15,L,4,2020,495.998
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,15,Retail,15,L,5,2020,500.0
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,15,Retail,15,L,6,2020,508.333
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,15,Retail,15,L,7,2020,579.1635
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,15,Retail,15,L,8,2020,593.3296
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,15,Retail,15,L,9,2020,612.4955
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,15,Retail,15,L,10,2020,583.33
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,15,Retail,15,L,11,2020,583.33
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,15,Retail,15,L,1,2021,720.8285
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,15,Retail,15,L,2,2021,854.1625
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,15,Retail,15,L,3,2021,899.994
182.0,Nigeria,2211,Adamawa,1980,Mubi,62,Oil (palm) ,0.0,NGN,15,Retail,15,L,4,2021,769.994
182.0,Nigeria,2211,Adamawa,1980,Mubi,64,Rice (imported) ,0.0,NGN,14,Wholesale,22,50 KG,1,2017,17400.0
182.0,Nigeria,2211,Adamawa,1980,Mubi,64,Rice (imported) ,0.0,NGN,14,Wholesale,22,50 KG,2,2017,17225.0
182.0,Nigeria,2211,Adamawa,1980,Mubi,64,Rice (imported) ,0.0,NGN,14,Wholesale,22,50 KG,3,2017,15460.0
182.0,Nigeria,2211,Adamawa,1980,Mubi,64,Rice (imported) ,0.0,NGN,14,Wholesale,22,50 KG,4,2017,14510.0
182.0,Nigeria,2211,Adamawa,1980,Mubi,64,Rice (imported) ,0.0,NGN,14,Wholesale,22,50 KG,5,2017,16200.0
182.0,Nigeria,2211,Adamawa,1980,Mubi,64,Rice (imported) ,0.0,NGN,14,Wholesale,22,50 KG,6,2017,16150.0
182.0,Nigeria,2211,Adamawa,1980,Mubi,64,Rice (imported) ,0.0,NGN,14,Wholesale,22,50 KG,7,2017,16000.0
182.0,Nigeria,2211,Adamawa,1980,Mubi,64,Rice (imported) ,0.0,NGN,14,Wholesale,22,50 KG,8,2017,14500.0
182.0,Nigeria,2211,Adamawa,1980,Mubi,64,Rice (imported) ,0.0,NGN,14,Wholesale,22,50 KG,2,2018,15170.0
182.0,Nigeria,2211,Adamawa,1980,Mubi,64,Rice (imported) ,0.0,NGN,14,Wholesale,22,50 KG,3,2018,15140.0
